Year,Value,State,Age
2020,66.8,US,Total
2018,53.4,US,Total
2016,61.4,US,Total
2014,41.9,US,Total
2012,61.8,US,Total
2010,45.5,US,Total
2020,51.4,US,18 to 24
2018,32.4,US,18 to 24
2016,43,US,18 to 24
2014,17.1,US,18 to 24
2012,41.2,US,18 to 24
2010,21.3,US,18 to 24
2020,60.3,US,25 to 34
2018,42.1,US,25 to 34
2016,53.1,US,25 to 34
2014,27.6,US,25 to 34
2012,53.5,US,25 to 34
2010,37.1,US,25 to 34
2020,65.1,US,35 to 44
2018,51,US,35 to 44
2016,60.2,US,35 to 44
2014,37.8,US,35 to 44
2012,61.2,US,35 to 44
2010,54.4,US,35 to 44
2020,71,US,45 to 64
2018,59.5,US,45 to 64
2016,66.6,US,45 to 64
2014,49.6,US,45 to 64
2012,67.9,US,45 to 64
2010,62.1,US,45 to 64
2020,74.5,US,65+
2018,66.1,US,65+
2016,70.9,US,65+
2014,59.4,US,65+
2012,72,US,65+
2010,59.2,US,65+
2020,60.5,Alabama,Total
2018,50.7,Alabama,Total
2016,57.4,Alabama,Total
2014,42.5,Alabama,Total
2012,61.9,Alabama,Total
2010,44.1,Alabama,Total
2020,45.4,Alabama,18 to 24
2018,29.9,Alabama,18 to 24
2016,42.7,Alabama,18 to 24
2014,17.2,Alabama,18 to 24
2012,36.2,Alabama,18 to 24
2010,17,Alabama,18 to 24
2020,53.7,Alabama,25 to 34
2018,42.4,Alabama,25 to 34
2016,54.5,Alabama,25 to 34
2014,29.9,Alabama,25 to 34
2012,50.6,Alabama,25 to 34
2010,40.3,Alabama,25 to 34
2020,60,Alabama,35 to 44
2018,47.1,Alabama,35 to 44
2016,55.8,Alabama,35 to 44
2014,43.2,Alabama,35 to 44
2012,56.8,Alabama,35 to 44
2010,50.7,Alabama,35 to 44
2020,66.2,Alabama,45 to 64
2018,56,Alabama,45 to 64
2016,59.4,Alabama,45 to 64
2014,49.3,Alabama,45 to 64
2012,73.7,Alabama,45 to 64
2010,57.1,Alabama,45 to 64
2020,64.8,Alabama,65+
2018,63.1,Alabama,65+
2016,66.9,Alabama,65+
2014,55.1,Alabama,65+
2012,69.5,Alabama,65+
2010,51.7,Alabama,65+
2020,63.8,Alaska,Total
2018,52.8,Alaska,Total
2016,61.3,Alaska,Total
2014,50.7,Alaska,Total
2012,58.4,Alaska,Total
2010,50.7,Alaska,Total
2020,*,Alaska,18 to 24
2018,*,Alaska,18 to 24
2016,*,Alaska,18 to 24
2014,*,Alaska,18 to 24
2012,32.5,Alaska,18 to 24
2010,17.7,Alaska,18 to 24
2020,43.6,Alaska,25 to 34
2018,39.6,Alaska,25 to 34
2016,52.7,Alaska,25 to 34
2014,42.9,Alaska,25 to 34
2012,45,Alaska,25 to 34
2010,45.5,Alaska,25 to 34
2020,62.6,Alaska,35 to 44
2018,*,Alaska,35 to 44
2016,*,Alaska,35 to 44
2014,*,Alaska,35 to 44
2012,62.9,Alaska,35 to 44
2010,61.2,Alaska,35 to 44
2020,75,Alaska,45 to 64
2018,59.1,Alaska,45 to 64
2016,70.2,Alaska,45 to 64
2014,61.6,Alaska,45 to 64
2012,67.1,Alaska,45 to 64
2010,74,Alaska,45 to 64
2020,73.6,Alaska,65+
2018,65,Alaska,65+
2016,*,Alaska,65+
2014,*,Alaska,65+
2012,73.2,Alaska,65+
2010,65.3,Alaska,65+
2020,71.9,Arizona,Total
2018,58.9,Arizona,Total
2016,60.4,Arizona,Total
2014,40.6,Arizona,Total
2012,55.9,Arizona,Total
2010,48.8,Arizona,Total
2020,52,Arizona,18 to 24
2018,35,Arizona,18 to 24
2016,40.2,Arizona,18 to 24
2014,15.1,Arizona,18 to 24
2012,43,Arizona,18 to 24
2010,27,Arizona,18 to 24
2020,68.2,Arizona,25 to 34
2018,39.4,Arizona,25 to 34
2016,51.7,Arizona,25 to 34
2014,23.1,Arizona,25 to 34
2012,40.8,Arizona,25 to 34
2010,40.6,Arizona,25 to 34
2020,67.3,Arizona,35 to 44
2018,57,Arizona,35 to 44
2016,52.6,Arizona,35 to 44
2014,32.2,Arizona,35 to 44
2012,53.6,Arizona,35 to 44
2010,57.1,Arizona,35 to 44
2020,76.4,Arizona,45 to 64
2018,66.6,Arizona,45 to 64
2016,68.7,Arizona,45 to 64
2014,46.5,Arizona,45 to 64
2012,60,Arizona,45 to 64
2010,64.4,Arizona,45 to 64
2020,81.8,Arizona,65+
2018,75.6,Arizona,65+
2016,72.2,Arizona,65+
2014,66.3,Arizona,65+
2012,71.7,Arizona,65+
2010,62.3,Arizona,65+
2020,54,Arkansas,Total
2018,42.6,Arkansas,Total
2016,58.7,Arkansas,Total
2014,38.8,Arkansas,Total
2012,53.3,Arkansas,Total
2010,40.7,Arkansas,Total
2020,32.3,Arkansas,18 to 24
2018,23.9,Arkansas,18 to 24
2016,34.5,Arkansas,18 to 24
2014,15.5,Arkansas,18 to 24
2012,24.8,Arkansas,18 to 24
2010,15.2,Arkansas,18 to 24
2020,45.1,Arkansas,25 to 34
2018,30.8,Arkansas,25 to 34
2016,47.1,Arkansas,25 to 34
2014,21.9,Arkansas,25 to 34
2012,41.6,Arkansas,25 to 34
2010,29.5,Arkansas,25 to 34
2020,56.3,Arkansas,35 to 44
2018,36.1,Arkansas,35 to 44
2016,58.3,Arkansas,35 to 44
2014,40.8,Arkansas,35 to 44
2012,60.3,Arkansas,35 to 44
2010,53,Arkansas,35 to 44
2020,59,Arkansas,45 to 64
2018,47.1,Arkansas,45 to 64
2016,64.8,Arkansas,45 to 64
2014,44.5,Arkansas,45 to 64
2012,62.8,Arkansas,45 to 64
2010,60.4,Arkansas,45 to 64
2020,63.2,Arkansas,65+
2018,58.4,Arkansas,65+
2016,67.3,Arkansas,65+
2014,54.4,Arkansas,65+
2012,59.6,Arkansas,65+
2010,46.8,Arkansas,65+
2020,65.1,California,Total
2018,51.9,California,Total
2016,57.9,California,Total
2014,36.6,California,Total
2012,57.5,California,Total
2010,47.1,California,Total
2020,53.6,California,18 to 24
2018,35.3,California,18 to 24
2016,42.7,California,18 to 24
2014,15.9,California,18 to 24
2012,41.6,California,18 to 24
2010,25.1,California,18 to 24
2020,60,California,25 to 34
2018,43.2,California,25 to 34
2016,51.9,California,25 to 34
2014,21.6,California,25 to 34
2012,49.8,California,25 to 34
2010,39.4,California,25 to 34
2020,63.6,California,35 to 44
2018,49.2,California,35 to 44
2016,54.6,California,35 to 44
2014,30.5,California,35 to 44
2012,57.6,California,35 to 44
2010,55.6,California,35 to 44
2020,69.4,California,45 to 64
2018,56.9,California,45 to 64
2016,62.1,California,45 to 64
2014,45.5,California,45 to 64
2012,62.9,California,45 to 64
2010,61.8,California,45 to 64
2020,71.4,California,65+
2018,63.8,California,65+
2016,69.2,California,65+
2014,56.9,California,65+
2012,67.7,California,65+
2010,66.6,California,65+
2020,67.6,Colorado,Total
2018,58.1,Colorado,Total
2016,69.5,Colorado,Total
