State,2020,2018,2016,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,1984,1982,1980,1978
Alabama,60.5,50.7,57.4,42.5,61.9,44.1,62.4,49.7,63.2,49.3,60.4,51.8,56.3,46.4,64.4,52.1,57.6,54.2,62.3,50.0,57.3,47.6
Alaska,63.8,52.8,61.3,50.7,58.4,50.7,65.0,54.9,67.6,55.0,67.7,55.2,60.5,60.5,74.0,63.3,63.9,58.1,63.4,62.1,62.7,55.3
Arizona,71.9,58.9,60.4,40.6,55.9,48.8,59.9,46.4,63.8,42.4,52.5,38.2,54.3,45.7,69.7,50.4,57.8,49.1,58.1,45.6,57.8,40.1
Arkansas,54.0,42.6,58.7,38.8,53.3,40.7,53.8,45.4,58.7,46.2,50.6,42.8,51.9,42.1,60.5,48.5,57.2,47.9,61.2,54.2,58.6,42.3
California,65.1,51.9,57.9,36.6,57.5,47.1,63.4,47.5,61.9,42.5,57.9,50.4,61.3,57.5,70.1,54.3,64.8,55.1,68.0,58.6,64.9,55.3
Colorado,67.6,58.1,69.5,59.3,70.4,52.6,68.4,54.3,67.5,50.1,57.2,55.6,61.1,47.9,72.7,53.3,69.2,54.4,64.4,53.8,67.0,50.0
Connecticut,66.6,54.0,63.9,46.7,62.7,49.3,67.2,49.7,63.2,47.6,59.5,47.1,62.3,55.4,78.8,54.6,69.2,50.2,68.6,56.4,72.9,57.9
Delaware,67.7,51.8,62.3,45.2,67.3,51.0,67.3,45.6,66.4,45.3,64.8,37.7,56.1,42.3,71.1,41.5,61.4,39.2,64.9,54.8,62.9,50.9
District of Columbia,84.0,61.1,74.3,51.4,75.9,45.3,74.1,49.9,69.2,53.3,71.7,48.9,63.5,63.2,72.5,55.0,57.9,46.9,63.2,44.5,53.5,39.9
Florida,62.1,52.6,59.5,44.8,60.8,43.9,63.8,44.2,64.3,48.3,59.6,43.9,56.4,49.0,63.5,49.1,60.8,51.3,59.2,45.1,61.2,51.4
Georgia,66.1,55.9,60.2,43.2,61.9,43.6,64.2,43.9,56.8,42.3,50.9,38.6,50.9,36.5,57.3,45.2,51.7,40.7,55.7,39.5,55.0,29.5
Hawaii,64.3,44.0,47.3,41.8,51.6,43.1,51.8,43.4,50.8,45.4,44.1,53.7,47.4,52.7,61.9,57.9,60.3,58.7,61.5,59.7,63.5,57.5
Idaho,64.9,47.9,62.1,41.8,63.9,47.5,61.4,51.9,61.6,46.4,56.1,47.5,62.0,51.6,70.8,50.7,67.1,67.4,71.2,59.0,74.9,53.9
Illinois,68.4,53.0,63.8,41.7,61.5,45.5,62.6,47.3,65.6,46.8,62.0,48.2,59.1,46.2,72.3,53.1,65.8,50.6,73.6,58.3,72.0,50.7
Indiana,61.0,49.3,58.3,35.1,59.3,39.4,60.5,45.5,58.6,40.4,59.6,40.6,56.5,39.0,64.4,46.7,62.6,50.5,64.1,56.4,63.9,44.1
