Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island ,South Carolina,South Dakota,Tennessee,Texas,Utah ,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020,60.5,63.8,71.9,54.0,65.1,67.6,66.6,67.7,84.0,62.1,66.1,64.3,64.9,68.4,61.0,70.5,65.7,68.5,61.9,71.3,73.6,66.3,66.9,77.9,70.3,66.8,73.5,65.2,61.5,74.0,78.3,62.6,64.7,64.7,67.1,70.1,58.3,74.1,70.2,66.3,63.4,58.5,66.4,63.9,63.6,68.4,71.5,71.5,56.1,73.6,65.5
2018,50.7,52.8,58.9,42.6,51.9,58.1,54.0,51.8,61.1,52.6,55.9,44.0,47.9,53.0,49.3,59.6,56.9,53.8,49.8,65.6,54.2,55.5,59.5,63.0,54.2,55.0,63.8,50.8,48.7,56.2,54.0,48.1,49.5,52.4,61.9,52.5,49.4,61.1,54.6,51.6,48.7,51.9,49.6,48.4,57.6,54.9,57.5,61.9,44.1,64.6,52.1
2016,57.4,61.3,60.4,58.7,57.9,69.5,63.9,62.3,74.3,59.5,60.2,47.3,62.1,63.8,58.3,63.4,61.3,57.0,61.6,72.7,65.8,66.7,64.3,68.7,67.7,64.8,65.9,66.8,60.5,69.0,61.5,54.8,57.2,67.5,64.2,63.6,56.6,66.3,62.6,60.6,62.1,59.1,54.0,55.4,62.7,62.5,68.2,66.3,50.8,70.5,64.8
2014,42.5,50.7,40.6,38.8,36.6,59.3,46.7,45.2,51.4,44.8,43.2,41.8,41.8,41.7,35.1,52.9,48.3,47.5,50.2,61.5,48.9,46.9,47.1,52.0,42.3,38.7,50.1,44.3,37.3,50.2,36.4,45.6,34.4,46.2,51.0,39.7,34.2,55.5,40.0,43.3,42.4,44.1,36.6,34.6,36.5,42.5,41.7,50.0,33.6,55.4,40.3
2012,61.9,58.4,55.9,53.3,57.5,70.4,62.7,67.3,75.9,60.8,61.9,51.6,63.9,61.5,59.3,69.4,63.3,59.3,66.3,68.6,65.1,70.8,66.8,73.2,74.5,63.9,65.7,61.6,57.9,69.4,61.9,61.6,58.7,68.9,63.9,63.1,52.4,67.6,61.6,62.5,64.7,61.0,55.7,53.8,57.0,63.3,66.9,65.6,47.8,73.6,58.9
2010,44.1,50.7,48.8,40.7,47.1,52.6,49.3,51.0,45.3,43.9,43.6,43.1,47.5,45.5,39.4,52.3,47.2,46.8,50.0,59.4,46.8,52.2,47.3,54.9,47.1,45.7,51.9,41.3,42.4,46.9,41.7,42.5,43.6,45.4,55.7,45.2,40.4,56.3,43.9,46.7,50.9,54.9,37.7,36.4,38.6,55.0,40.7,58.1,41.0,54.3,47.2
2008,62.4,65.0,59.9,53.8,63.4,68.4,67.2,67.3,74.1,63.8,64.2,51.8,61.4,62.6,60.5,70.2,63.3,63.1,70.3,71.2,68.3,67.1,67.8,75.0,69.7,65.8,65.4,67.3,59.9,71.2,64.1,62.6,58.8,67.5,67.5,65.5,58.7,67.6,62.4,67.4,65.6,67.8,55.5,56.1,53.1,64.7,68.7,66.8,53.4,71.2,64.3
2006,49.7,54.9,46.4,45.4,47.5,54.3,49.7,45.6,49.9,44.2,43.9,43.4,51.9,47.3,45.5,54.6,46.5,49.4,40.0,58.1,56.4,55.4,57.1,65.4,42.8,54.0,59.6,51.2,42.6,48.4,43.3,54.3,42.5,40.3,54.4,53.0,46.2,59.7,47.6,58.8,45.2,63.0,45.4,38.4,36.7,56.9,47.5,53.3,36.9,57.8,52.1
2004,63.2,67.6,63.8,58.7,61.9,67.5,63.2,66.4,69.2,64.3,56.8,50.8,61.6,65.6,58.6,71.3,64.2,65.0,64.2,73.1,65.6,68.6,67.1,79.2,61.7,68.5,70.2,65.3,58.9,71.5,66.0,64.4,60.2,61.4,71.5,66.1,62.3,74.0,64.5,63.7,63.2,68.3,54.6,57.1,67.8,67.3,63.1,67.6,57.2,76.6,66.9
2002,49.3,55.0,42.4,46.2,42.5,50.1,47.6,45.3,53.3,48.3,42.3,45.4,46.4,46.8,40.4,50.9,48.7,45.8,50.3,57.8,51.0,52.5,50.3,67.4,43.1,52.6,53.9,46.1,42.7,51.0,42.8,44.4,43.6,44.7,57.5,43.6,49.0,55.5,43.2,50.6,46.6,66.1,46.5,40.7,43.8,53.0,37.2,50.7,36.9,50.3,53.9
