Year,Total,18 to 24,25 to 44,45 to 64,65+
2020,66.8,48.0,55.0,65.5,71.9
2018,53.4,30.1,40.4,55.0,63.8
2016,61.4,39.4,49.0,61.7,68.4
2014,41.9,15.9,28.3,46.0,57.5
2012,61.8,38.0,49.5,63.4,69.7
2010,45.5,19.6,32.2,51.1,58.9
2008,63.6,44.3,51.9,65.0,68.1
2006,47.8,19.9,34.4,54.3,60.5
2004,63.8,41.9,52.2,66.6,68.9
2002,46.1,17.2,34.1,53.1,61.0
2000,59.5,32.3,49.8,64.1,67.6
1998,45.3,16.6,34.8,53.6,59.5
1996,58.4,32.4,49.2,64.4,67.0
1994,48.4,20.1,39.4,56.7,61.3
1992,67.7,42.8,58.3,70.0,70.1
1990,49.3,20.4,40.7,55.8,60.3
