Year,All Ages,18 to 24,25 to 44,45 to 64,65+,
2020," 252,274 "," 28,659 "," 86,429 "," 81,912 "," 55,274 ",
2018," 249,748 "," 28,993 "," 85,554 "," 83,277 "," 51,925 ",
2016," 245,502 "," 29,320 "," 83,699 "," 83,799 "," 48,684 ",
2014," 239,874 "," 29,658 "," 81,886 "," 82,772 "," 45,558 ",
2012," 235,248 "," 29,878 "," 80,770 "," 82,087 "," 42,514 ",
2010," 229,690 "," 28,924 "," 81,101 "," 80,700 "," 38,966 ",
2008," 225,499 "," 28,263 "," 81,701 "," 78,078 "," 37,458 ",
2006," 220,603 "," 27,774 "," 82,002 "," 75,006 "," 35,821 ",
2004," 215,694 "," 27,808 "," 82,133 "," 71,014 "," 34,738 ",
2002," 210,421 "," 27,377 "," 82,228 "," 66,924 "," 33,892 ",
2000," 202,609 "," 26,712 "," 81,780 "," 61,352 "," 32,764 ",
1998," 198,228 "," 25,537 "," 82,993 "," 57,436 "," 32,263 ",
1996," 193,651 "," 24,650 "," 83,393 "," 53,721 "," 31,888 ",
1994," 190,267 "," 25,182 "," 83,006 "," 50,934 "," 31,144 ",
1992," 185,684 "," 24,371 "," 81,319 "," 49,147 "," 30,846 ",
1990," 182,118 "," 24,831 "," 80,541 "," 46,871 "," 29,874 ",
